"author","author_date","committer","committer_date","sha","additions","deletions","total"
"paragonie-scott","2015-06-08 02:10:30","paragonie-scott","2015-06-08 02:10:30","2db7a4f306acb64cbc9e91f7379e958749442a50","0","1","1"
"sindresorhus","2015-06-07 14:33:58","sindresorhus","2015-06-07 14:33:58","a82e02f35e3a2b09bab276a98c0fa9cd1dd5f683","0","1","1"
"waldyrious","2015-06-06 12:04:57","sindresorhus","2015-06-06 12:04:57","7ff77898d87b86a020a61690eb875ccdd1e3da71","0","1","1"
"leereilly","2015-06-05 15:06:22","sindresorhus","2015-06-05 15:06:22","036b445b543be94a4e1eb81f22e88b34f839ba0b","0","1","1"
"sindresorhus","2015-06-03 15:04:42","sindresorhus","2015-06-03 15:04:42","c2bcbaca200a46938a0a231efaef66ded37c67d6","1","1","2"
"aleksandar-todorovic","2015-06-03 13:57:39","aleksandar-todorovic","2015-06-03 13:57:39","fb73867208d378422c555a17a0122b208065f020","1","1","2"
"sindresorhus","2015-06-03 10:03:31","sindresorhus","2015-06-03 10:03:31","78bddd6b16911fb013c6cad9dcff54606055f2d6","0","22","22"
"sindresorhus","2015-06-03 09:52:34","sindresorhus","2015-06-03 09:52:34","fe43829d57b9f5f18a5f35907cca81c92e712769","33","65","98"
"sindresorhus","2015-06-03 09:31:22","sindresorhus","2015-06-03 09:31:22","f9259ce3b84be108979189341c72c4e7c2eeb5da","51","51","102"
"brunopulis","2015-06-03 09:28:56","sindresorhus","2015-06-03 09:29:02","cd2ce5674390b96f7bb1e94a185457af77ef3689","0","1","1"
"Calinou","2015-06-03 09:23:38","sindresorhus","2015-06-03 09:23:47","74d2ff0f65ab2ec739f4476599b2c930e89e363a","1","2","3"
"sindresorhus","2015-06-03 09:09:45","sindresorhus","2015-06-03 09:09:45","6f6bfed1b84309db16c6b78a1ad5d664a4b06a24","0","1","1"
"aleksandar-todorovic","2015-06-03 01:40:41","aleksandar-todorovic","2015-06-03 01:40:41","377199aec36d05c902f58d23a1d2746c9b61a194","0","1","1"
"sindresorhus","2015-06-01 21:43:12","sindresorhus","2015-06-01 21:43:12","80959e67e5c4f8827289756103f9c59bb503b042","0","1","1"
"sergeyklay","2015-06-01 21:34:21","sindresorhus","2015-06-01 21:34:21","a2bc9d191f496610f9f0372a17e1dd5de3d0f1f9","0","1","1"
"sindresorhus","2015-06-01 20:37:05","sindresorhus","2015-06-01 20:37:05","35c86e56078851f37434e8a9de3df51c29c73e4c","0","1","1"
"igorbarinov","2015-06-01 20:03:10","igorbarinov","2015-06-01 20:03:10","2493d100a737f1d52af209de45bc42c0a3989bd1","0","1","1"
"deanhume","2015-06-01 16:03:52","deanhume","2015-06-01 16:03:52","301f0775abe4c4dc636d29479c24e94cf5a5447c","0","1","1"
"mindreframer","2015-06-01 09:55:55","sindresorhus","2015-06-01 09:55:55","342ed1f7b7fb094e1edfb5213882b51592b211c8","0","1","1"
"sindresorhus","2015-05-31 18:39:53","sindresorhus","2015-05-31 18:39:53","7ca140d57e21024c6859fa138ce1713e7fe3c5ef","0","1","1"
"tmcw","2015-05-31 18:36:07","tmcw","2015-05-31 18:36:07","2b296dde251dedcb0c6b90baa4aa0df095d41fc0","0","1","1"
"willianjusten","2015-05-31 17:38:49","sindresorhus","2015-05-31 17:39:04","fb1bfbdc9a179b01d177c5319977b089de2e1e9d","0","1","1"
"sindresorhus","2015-05-31 02:20:45","sindresorhus","2015-05-31 02:20:45","87044831a310881b86808c235507dc11851f576b","1","1","2"
"AllThingsSmitty","2015-05-29 22:42:48","sindresorhus","2015-05-29 22:42:48","245553e66fa4f68fce3461a39d5073b375773a20","0","1","1"
"sindresorhus","2015-05-27 10:48:37","sindresorhus","2015-05-27 10:48:45","f698bbc87e95a4d9937e8da9d9b13380642816d1","0","1","1"
"sindresorhus","2015-05-27 10:45:10","sindresorhus","2015-05-27 10:45:10","0b193b53d3f40a93316911e663fee2bcce8b7d01","0","1","1"
"unixorn","2015-05-26 18:12:19","sindresorhus","2015-05-26 18:12:19","1d479b510f9df9b2a6f6e562e0d30177f7067eb9","0","1","1"
"Granze","2015-05-26 15:28:35","Granze","2015-05-26 15:28:35","48732b811187727ce6fb6306e7220884e3f09ee3","0","1","1"
"sindresorhus","2015-05-24 23:55:57","sindresorhus","2015-05-24 23:55:57","7323a3f61b0ccf3ad1814f210c85cc13665d5a95","0","1","1"
"sindresorhus","2015-05-24 17:44:56","sindresorhus","2015-05-24 17:44:56","1ad0c345842f94516c7d305ec58c67c9c3ccafb2","0","1","1"
"filipelinhares","2015-05-24 17:39:49","filipelinhares","2015-05-24 17:39:49","305632df736f66113f863c1035d359ba5743d11b","0","1","1"
"sindresorhus","2015-05-21 10:40:19","sindresorhus","2015-05-21 10:40:19","688d498ea8d3de6f9705de88cccc8ebae01fdd7f","0","1","1"
"isRuslan","2015-05-21 10:34:56","isRuslan","2015-05-21 10:34:56","5057283b4f8108e3682d430e566dddab21da749e","0","1","1"
"sindresorhus","2015-05-21 10:23:54","sindresorhus","2015-05-21 10:23:54","f66357f7c18fcaaf92c2f7ecbcff9ff0bdb4dbab","0","16","16"
"sindresorhus","2015-05-21 10:14:41","sindresorhus","2015-05-21 10:14:41","0509ac7b469c3be89ab60abb7039fb69c090f7be","8","9","17"
"sindresorhus","2015-05-20 18:42:11","sindresorhus","2015-05-20 18:42:11","e46edcec8d9b436339a986280060ae28bd65cd53","0","1","1"
"","2015-05-20 17:44:14","","2015-05-20 17:44:14","fe66f141ed179af0d7089da17152ab4a5e40a8da","0","1","1"
"sindresorhus","2015-05-19 21:51:42","sindresorhus","2015-05-19 21:51:42","e56f1c419df5ff362617faeb2508b8f9f5732515","1","1","2"
"feross","2015-05-19 21:50:34","feross","2015-05-19 21:50:34","0f53880eac9c4f3c285fa035bb43aa7994b2c3c6","1","1","2"
"sindresorhus","2015-05-19 21:46:30","sindresorhus","2015-05-19 21:46:30","4f70c500a7f2d72288b2e7be4d03e60b207459d9","0","1","1"
"sindresorhus","2015-05-19 14:22:44","sindresorhus","2015-05-19 14:22:44","c36dc7a9f651ec974c9dd2b0b60a52193cd6d438","0","1","1"
"Teloah","2015-05-19 14:06:50","Teloah","2015-05-19 14:06:50","725298bfb5c5581b8fd87479324a012e4b5b11cf","0","1","1"
"sindresorhus","2015-05-19 12:14:19","sindresorhus","2015-05-19 12:14:19","fbf484f415d44bdda324cba37eefdea09eef8065","0","1","1"
"sturobson","2015-05-19 09:41:23","sturobson","2015-05-19 09:41:23","5b4ef2fc66d042a32302533aab7c79ce08b88d0a","0","1","1"
"sindresorhus","2015-05-18 19:21:33","sindresorhus","2015-05-18 19:21:33","46d0257bc53943cd080359fc1618590ee4190908","0","1","1"
"jpsilvashy","2015-05-18 18:25:58","jpsilvashy","2015-05-18 18:25:58","b3f8638f9fd50933672f864d3867971f3eda88c2","0","1","1"
"sindresorhus","2015-05-18 10:27:20","sindresorhus","2015-05-18 10:27:20","b17e136b7e86ce3a908238c63d2c2bb46443baea","0","1","1"
"alexmironof","2015-05-18 09:43:21","alexmironof","2015-05-18 09:43:21","eb9dd4336ccb1fb76d76ad5b3fc36ba93c1483d3","0","1","1"
"sindresorhus","2015-05-17 18:58:37","sindresorhus","2015-05-17 18:58:37","58e4155911653c19c90b2ad2c0771ea82c307102","0","1","1"
"h-nazzal","2015-05-17 18:44:25","h-nazzal","2015-05-17 18:44:25","0713b6290d29a99551366f257741a4432971a8f9","0","1","1"
"arthurvr","2015-05-16 07:39:03","arthurvr","2015-05-16 07:39:03","de094d7d7b4a9619149f4c79657a211687ea245e","1","1","2"
"chiraggude","2015-05-15 15:33:19","chiraggude","2015-05-15 15:33:19","48197a9a6b9847505b7ffb25aa9469537a4222db","1","1","2"
"sindresorhus","2015-05-13 17:23:35","sindresorhus","2015-05-13 17:23:35","5aef532c9f51d3f7e31c710e5683d9875cf1dd1d","2","2","4"
"sindresorhus","2015-05-13 17:22:37","sindresorhus","2015-05-13 17:22:37","3d2a41718580a65e836f6c299f61d22a885c7d37","0","1","1"
"uralbash","2015-05-13 10:53:23","uralbash","2015-05-13 10:53:23","de000324472dcd322f1d48ed2457ecafbf820d15","0","1","1"
"sindresorhus","2015-05-11 21:50:31","sindresorhus","2015-05-11 21:50:31","44d51562b06b8f26006002d64c6a8c2777201c47","0","1","1"
"leoruhland","2015-05-11 21:03:37","leoruhland","2015-05-11 21:03:37","5ebfd7f454a309443d2d337ad003b97c24c56cb3","0","1","1"
"sindresorhus","2015-05-11 15:35:44","sindresorhus","2015-05-11 15:35:44","ab1afc1c9a6111fef3a6a8d53a76ac92027c976d","0","1","1"
"leoruhland","2015-05-11 13:03:01","leoruhland","2015-05-11 13:03:01","877fd6ab2b09fcbb6f5e0f2e08d31852f88824c6","0","1","1"
"sindresorhus","2015-05-10 19:41:03","sindresorhus","2015-05-10 19:41:03","b3577fc2c9c5ad128e326b3890dc33bd9129a0ad","0","1","1"
"sindresorhus","2015-05-10 19:39:40","sindresorhus","2015-05-10 19:39:40","46fd9982735e4a8a14dc952fe7436658d4c0f495","0","1","1"
"sachin1092","2015-05-10 17:03:50","sachin1092","2015-05-10 17:03:50","ea32bca24be4ab4a3b81dac060366dacc067e598","0","1","1"
"yashmehrotra","2015-05-10 14:35:40","yashmehrotra","2015-05-10 14:35:40","d7fe9937139cececbca003e6033481d4da8b2176","0","1","1"
"sindresorhus","2015-05-07 22:39:36","sindresorhus","2015-05-07 22:39:36","f8cfb53d4e83c276548956f565c1bda94820be20","0","1","1"
"sindresorhus","2015-05-06 12:21:42","sindresorhus","2015-05-06 12:21:42","798966b55e9db688e4c789d911652e0b98304a09","0","1","1"
"dariubs","2015-05-06 12:14:37","dariubs","2015-05-06 12:14:37","05156498fa94810daf82e13c9e25b2857cb950a9","0","1","1"
"sindresorhus","2015-05-06 10:33:13","sindresorhus","2015-05-06 10:33:13","f5df7c9b8b33c8b47194dbf6e64a1a2875f894f4","2","6","8"
"sindresorhus","2015-05-05 15:04:30","sindresorhus","2015-05-05 15:04:30","d135be44705390fe76b6479cd1bcb25c6e09a848","0","2","2"
"leoruhland","2015-05-05 14:44:54","leoruhland","2015-05-05 14:44:54","9b2f862a077ddb306fb4e4c0635a01c6fe53cb93","0","2","2"
"sindresorhus","2015-04-29 21:21:18","sindresorhus","2015-04-29 21:21:18","e9a181a43b218c4715250195e3d8760c0a7418c4","0","1","1"
"AchoArnold","2015-04-29 21:12:04","AchoArnold","2015-04-29 21:12:04","41386ad9804a2e785db1519c4dbc9dcbf4953938","0","1","1"
"sindresorhus","2015-04-28 03:14:08","sindresorhus","2015-04-28 03:14:08","2b307559cb94c302d5cb1818dd9757a4129f2680","0","1","1"
"apsdehal","2015-04-27 21:09:26","apsdehal","2015-04-27 21:09:26","ab18ee58883e4f2efc6f07c9447903f3326ada55","0","1","1"
"sindresorhus","2015-04-23 11:56:50","sindresorhus","2015-04-23 11:56:50","2f84bfe39664ac7ee1c324578dd874886a963bfc","0","1","1"
"sindresorhus","2015-04-11 05:35:59","sindresorhus","2015-04-11 05:35:59","b9e296a3939ef642c40f8f1191a672b6ff54a94e","0","1","1"
"RichardLitt","2015-04-11 05:06:46","RichardLitt","2015-04-11 05:06:46","b17286fe55839d4926d21fb053d51cd260b76a75","0","1","1"
"sindresorhus","2015-04-08 14:01:00","sindresorhus","2015-04-08 14:01:00","eb5a2dee1f5172190a34333689e3ab138bd22c8a","0","2","2"
"","2015-04-05 14:38:30","sindresorhus","2015-04-08 07:26:32","284d9c95b29e87ac8d22162f9bb12f309655432a","0","2","2"
"sindresorhus","2015-04-07 07:04:27","sindresorhus","2015-04-07 07:04:27","c3e92c1e8a8eab14fd7e02298ebcb5dd277c71f7","0","1","1"
"","2015-04-03 21:12:22","","2015-04-03 21:12:53","80abbdd34243006855fd17bcbd9c986c73f99233","0","1","1"
"sindresorhus","2015-03-29 09:12:45","sindresorhus","2015-03-29 09:12:45","b59b70b904a8a1b55387bbd7a57d5ca52b7754b5","0","1","1"
"burningtree","2015-03-28 06:23:47","burningtree","2015-03-28 06:23:47","5039aeca49d16ee211823f74044cd8dd2d5800e8","0","1","1"
"sindresorhus","2015-03-24 12:32:23","sindresorhus","2015-03-24 12:32:23","f2b748cdbe63b9a09ee34cf4f45e146b989bf85a","0","1","1"
