"author","author_date","committer","committer_date","sha","additions","deletions","total"
"minsoopark","2015-02-10 06:36:59","minsoopark","2015-02-10 06:36:59","bdd33e4c4035d7413e63c942b220616b8bf37a90","10","17","27"
"minsoopark","2015-02-10 06:08:45","minsoopark","2015-02-10 06:08:45","fc88ed9b12bf3af7f04e463f9e1b6945b275e731","0","508","508"
"andyiac","2015-02-07 03:22:05","andyiac","2015-02-07 03:22:05","fbb97f3fab48aa8a53a7ad25bfd364e87114a687","1","1","2"
"andyiac","2015-02-07 03:18:17","andyiac","2015-02-07 03:18:17","ba9c1ec59f72dff5930933cf3f66c4fe2b2267cb","0","1","1"
"staltz","2015-02-03 16:19:03","staltz","2015-02-03 16:19:03","08a7c1ec10be90a816f86e507bc7688c65f2f4d2","2","2","4"
"amouly","2015-02-03 15:21:44","amouly","2015-02-03 15:21:44","183cf6ffdca9c38aad0c01fab30e1e8c0a9fb692","2","2","4"
"staltz","2015-01-30 10:19:58","staltz","2015-01-30 10:19:58","7d85620481f83076c14575db56ffbcae8066fb93","1","1","2"
"jarnmo","2015-01-30 09:36:02","jarnmo","2015-01-30 09:36:02","ddcf80bf96ca89b386735e5b00da3b71e52b4bfd","1","1","2"
"staltz","2015-01-16 08:37:56","staltz","2015-01-16 08:37:56","39c700c53d641377195a48cbf02923806e29bad8","0","2","2"
"staltz","2015-01-16 08:29:58","staltz","2015-01-16 08:29:58","4477b83b10e62cd923204d965900642848af2bfc","1","1","2"
"ichigotake","2015-01-16 00:56:06","ichigotake","2015-01-16 00:56:06","37b2248f1c3e486987bed11b256fffb6403f4174","1","1","2"
"staltz","2014-12-12 18:50:19","staltz","2014-12-12 18:50:19","647fb9be33d9062f4a0c46f117d188b06798c9c3","1","1","2"
"peter-tackage","2014-12-12 15:49:35","peter-tackage","2014-12-12 15:49:35","2b7c259b06844e6c6b2ce95e75cf2b4edf5b232a","1","1","2"
"staltz","2014-12-12 12:34:48","staltz","2014-12-12 12:34:48","70f859bb3b95ae22ef8ed2794bb51a771268824d","3","3","6"
"omjokine","2014-12-12 12:28:11","omjokine","2014-12-12 12:28:11","91471e23f0e59072fb2b897c6ec2fbea6d777a52","3","3","6"
